Number of men: 40
Trial #1 
Preferences
Man difference is 5
Woman difference is -3
Man difference is 3
Woman difference is -15
Man difference is 5
Woman difference is -5
Man difference is 4
Woman difference is -1
Man difference is 1
Woman difference is -8
Man difference is 1
Woman difference is -16
Man difference is 2
Woman difference is -13
Man difference is 5
Woman difference is -31
Man difference is 1
Woman difference is -31
Man difference is 2
Woman difference is -10
Man difference is 3
Woman difference is -1
Man difference is 1
Woman difference is -15
Man difference is 2
Woman difference is -5
Man difference is 1
Woman difference is -9
Man difference is 1
Woman difference is -34
Man difference is 1
Woman difference is -37
Man difference is 1
Woman difference is -3
Man difference is 5
Woman difference is -19
Man difference is 4
Woman difference is -1
Man difference is 3
Woman difference is -24
Man difference is 1
Woman difference is -9
Man difference is 6
Woman difference is -26
Man difference is 2
Woman difference is -11
Man difference is 1
Woman difference is -9
Man difference is 1
Woman difference is -16
Man difference is 6
Woman difference is -4
Man difference is 11
Woman difference is -20
Man difference is 2
Woman difference is -38
Trial #2 
Preferences
Man difference is 8
Woman difference is -4
Man difference is 2
Woman difference is -3
Man difference is 2
Woman difference is -29
Man difference is 3
Woman difference is -2
Man difference is 3
Woman difference is -33
Man difference is 3
Woman difference is -28
Man difference is 5
Woman difference is -14
Man difference is 4
Woman difference is -10
Man difference is 12
Woman difference is -24
Man difference is 2
Woman difference is -11
Man difference is 4
Woman difference is -22
Man difference is 3
Woman difference is -6
Man difference is 5
Woman difference is -20
Man difference is 1
Woman difference is -31
Man difference is 7
Woman difference is -10
Man difference is 1
Woman difference is -7
Man difference is 3
Woman difference is -10
Man difference is 2
Woman difference is -27
Man difference is 2
Woman difference is -6
Man difference is 1
Woman difference is -34
Man difference is 7
Woman difference is -25
Man difference is 3
Woman difference is -32
Man difference is 2
Woman difference is -30
Man difference is 7
Woman difference is -6
Man difference is 5
Woman difference is -14
Trial #3 
Preferences
Man difference is 1
Woman difference is -6
Man difference is 1
Woman difference is -29
Man difference is 12
Woman difference is -29
Man difference is 5
Woman difference is -15
Man difference is 4
Woman difference is -22
Man difference is 4
Woman difference is -27
Man difference is 1
Woman difference is -29
Man difference is 6
Woman difference is -2
Man difference is 2
Woman difference is -30
Man difference is 4
Woman difference is -13
Man difference is 3
Woman difference is -17
Man difference is 1
Woman difference is -7
Man difference is 2
Woman difference is -1
Man difference is 5
Woman difference is -12
Man difference is 2
Woman difference is -1
Man difference is 3
Woman difference is -25
Man difference is 1
Woman difference is -5
Man difference is 4
Woman difference is -1
Man difference is 9
Woman difference is -12
Man difference is 5
Woman difference is -4
Man difference is 4
Woman difference is -37
Man difference is 3
Woman difference is -21
Man difference is 1
Woman difference is -1
Man difference is 1
Woman difference is -9
Man difference is 1
Woman difference is -1
Man difference is 7
Woman difference is -8
Man difference is 8
Woman difference is -2
Man difference is 1
Woman difference is -19
Man difference is 4
Woman difference is -13
Trial #4 
Preferences
Man difference is 1
Woman difference is -25
Man difference is 3
Woman difference is -31
Man difference is 1
Woman difference is -24
Man difference is 2
Woman difference is -32
Man difference is 1
Woman difference is -18
Man difference is 1
Woman difference is -31
Man difference is 1
Woman difference is -18
Man difference is 6
Woman difference is -9
Man difference is 3
Woman difference is -6
Man difference is 4
Woman difference is -17
Man difference is 1
Woman difference is -27
Man difference is 2
Woman difference is -3
Man difference is 3
Woman difference is -18
Man difference is 1
Woman difference is -5
Man difference is 4
Woman difference is -30
Man difference is 9
Woman difference is -24
Man difference is 3
Woman difference is -7
Man difference is 1
Woman difference is -17
Man difference is 1
Woman difference is -4
Man difference is 1
Woman difference is -20
Man difference is 3
Woman difference is -17
Man difference is 5
Woman difference is -22
Man difference is 1
Woman difference is -35
Man difference is 2
Woman difference is -19
Trial #5 
Preferences
Man difference is 3
Woman difference is -15
Man difference is 1
Woman difference is -33
Man difference is 1
Woman difference is -32
Man difference is 6
Woman difference is -30
Man difference is 3
Woman difference is -23
Man difference is 6
Woman difference is -12
Man difference is 6
Woman difference is -2
Man difference is 16
Woman difference is -5
Man difference is 2
Woman difference is -13
Man difference is 10
Woman difference is -3
Man difference is 10
Woman difference is -1
Man difference is 1
Woman difference is -5
Man difference is 1
Woman difference is -2
Man difference is 3
Woman difference is -18
Man difference is 2
Woman difference is -32
Man difference is 7
Woman difference is -12
Man difference is 8
Woman difference is -6
Man difference is 3
Woman difference is -7
Man difference is 7
Woman difference is -8
Man difference is 1
Woman difference is -19
Man difference is 5
Woman difference is -37
Man difference is 1
Woman difference is -3
Man difference is 1
Woman difference is -20
Man difference is 2
Woman difference is -36
Trial #6 
Preferences
Man difference is 3
Woman difference is -23
Man difference is 8
Woman difference is -21
Man difference is 3
Woman difference is -15
Man difference is 7
